col_idx,item_text,code,count,pct
1,1. 您的性别是?（单选）,1,500,52.02913631633715
1,1. 您的性别是?（单选）,2,461,47.97086368366285
2,2. 您的年龄段是?（单选）,1,37,3.850156087408949
2,2. 您的年龄段是?（单选）,2,318,33.090530697190424
2,2. 您的年龄段是?（单选）,3,369,38.397502601456814
2,2. 您的年龄段是?（单选）,4,155,16.129032258064516
2,2. 您的年龄段是?（单选）,5,82,8.532778355879293
3,3. 您的教育程度是?（单选）,1,69,7.1800208116545265
3,3. 您的教育程度是?（单选）,2,100,10.40582726326743
3,3. 您的教育程度是?（单选）,3,206,21.436004162330907
3,3. 您的教育程度是?（单选）,4,419,43.60041623309053
3,3. 您的教育程度是?（单选）,5,167,17.377731529656607
4,4. 您的职业是?（单选）,1,133,13.839750260145681
4,4. 您的职业是?（单选）,2,339,35.27575442247659
4,4. 您的职业是?（单选）,3,87,9.053069719042664
4,4. 您的职业是?（单选）,4,93,9.67741935483871
4,4. 您的职业是?（单选）,5,156,16.23309053069719
4,4. 您的职业是?（单选）,6,112,11.65452653485952
4,4. 您的职业是?（单选）,7,1,0.1040582726326743
4,4. 您的职业是?（单选）,8,40,4.1623309053069715
5,5. 您的月收入范围是?（单选）,1,211,21.956295525494276
5,5. 您的月收入范围是?（单选）,2,238,24.765868886576484
5,5. 您的月收入范围是?（单选）,3,313,32.57023933402706
5,5. 您的月收入范围是?（单选）,4,156,16.23309053069719
5,5. 您的月收入范围是?（单选）,5,43,4.474505723204995
6,6. 您平时是否有购买中医药保健品、养生茶饮或接受中医调理的习惯?（单选）,1,346,36.00416233090531
6,6. 您平时是否有购买中医药保健品、养生茶饮或接受中医调理的习惯?（单选）,2,283,29.448491155046828
6,6. 您平时是否有购买中医药保健品、养生茶饮或接受中医调理的习惯?（单选）,3,264,27.471383975026015
6,6. 您平时是否有购买中医药保健品、养生茶饮或接受中医调理的习惯?（单选）,4,68,7.075962539021853
7,7. 您对“中医药+文旅”融合模式的了解程度是?（单选）,1,160,16.649323621227886
7,7. 您对“中医药+文旅”融合模式的了解程度是?（单选）,2,243,25.286160249739854
7,7. 您对“中医药+文旅”融合模式的了解程度是?（单选）,3,341,35.483870967741936
7,7. 您对“中医药+文旅”融合模式的了解程度是?（单选）,4,147,15.296566077003122
7,7. 您对“中医药+文旅”融合模式的了解程度是?（单选）,5,70,7.2840790842872005
8,8. 您是否听说或到访过武汉“叶开泰中医药文化街区” ?（单选）,1,674,70.13527575442248
8,8. 您是否听说或到访过武汉“叶开泰中医药文化街区” ?（单选）,2,287,29.864724245577523
24,11. 您在街区的停留时长大约是?（单选）,1,268,27.88761706555671
24,11. 您在街区的停留时长大约是?（单选）,2,263,27.36732570239334
24,11. 您在街区的停留时长大约是?（单选）,3,315,32.778355879292405
24,11. 您在街区的停留时长大约是?（单选）,4,115,11.966701352757545
25,12. 您本次在街区的消费金额大约是?（单选）,1,257,26.742976066597294
25,12. 您本次在街区的消费金额大约是?（单选）,2,235,24.45369406867846
25,12. 您本次在街区的消费金额大约是?（单选）,3,290,30.176899063475545
25,12. 您本次在街区的消费金额大约是?（单选）,4,101,10.509885535900104
25,12. 您本次在街区的消费金额大约是?（单选）,5,78,8.116545265348595
90,20. 若有机会，您是否愿意前往叶开泰中医药文化街区游览?（单选）,1,56,5.82726326742976
90,20. 若有机会，您是否愿意前往叶开泰中医药文化街区游览?（单选）,2,68,7.075962539021853
90,20. 若有机会，您是否愿意前往叶开泰中医药文化街区游览?（单选）,3,210,21.852237252861602
90,20. 若有机会，您是否愿意前往叶开泰中医药文化街区游览?（单选）,4,373,38.81373569198751
90,20. 若有机会，您是否愿意前往叶开泰中医药文化街区游览?（单选）,5,254,26.43080124869927
91,21. 您是否会向亲友推荐叶开泰中医药文化街区?（单选）,1,57,5.931321540062435
91,21. 您是否会向亲友推荐叶开泰中医药文化街区?（单选）,2,63,6.555671175858481
91,21. 您是否会向亲友推荐叶开泰中医药文化街区?（单选）,3,235,24.45369406867846
91,21. 您是否会向亲友推荐叶开泰中医药文化街区?（单选）,4,331,34.44328824141519
91,21. 您是否会向亲友推荐叶开泰中医药文化街区?（单选）,5,275,28.616024973985432
