feature_set,preprocess,k,layer_id,layer_name,layer_n,tested_vars_n,sig_vars_n,scored_sig_vars_n,mean_effect,layer_score
baseline,zscore,2,all,全样本对照,880,2,0,0,0.003455999606104933,0.03455999606104933
baseline,zscore,2,visited,到访层(C008=1),661,6,0,0,0.0151369936765138,0.151369936765138
baseline,zscore,2,unvisited,未到访层(C008=2),219,5,0,0,0.054155056868893846,0.5415505686889385
baseline,zscore,3,all,全样本对照,880,2,0,0,0.0008279559126235666,0.008279559126235667
baseline,zscore,3,visited,到访层(C008=1),661,6,0,0,0.01593649339506253,0.15936493395062531
baseline,zscore,3,unvisited,未到访层(C008=2),219,5,0,0,0.06417827224783199,0.6417827224783199
baseline,zscore,4,all,全样本对照,880,2,0,0,0.000887602872070591,0.00887602872070591
baseline,zscore,4,visited,到访层(C008=1),661,6,0,0,0.03281598695682769,0.3281598695682769
baseline,zscore,4,unvisited,未到访层(C008=2),219,5,3,3,0.14706282105705806,4.470628210570581
baseline,robust,2,all,全样本对照,880,2,2,2,0.06605737266206921,2.660573726620692
baseline,robust,2,visited,到访层(C008=1),661,6,2,0,0.06563224498365838,2.656322449836584
baseline,robust,2,unvisited,未到访层(C008=2),219,5,2,0,0.05179801113831121,2.517980111383112
baseline,robust,3,all,全样本对照,880,2,2,2,0.06708455019141701,2.67084550191417
baseline,robust,3,visited,到访层(C008=1),661,6,2,0,0.07228873688137727,2.7228873688137725
baseline,robust,3,unvisited,未到访层(C008=2),219,5,3,1,0.11426120103445277,4.142612010344528
baseline,robust,4,all,全样本对照,880,2,2,2,0.11853497807156121,3.185349780715612
baseline,robust,4,visited,到访层(C008=1),661,6,2,0,0.09132808466652341,2.9132808466652342
baseline,robust,4,unvisited,未到访层(C008=2),219,5,2,0,0.1353665277415894,3.353665277415894
enhanced,zscore,2,all,全样本对照,880,2,2,2,0.07121238193879545,2.7121238193879544
enhanced,zscore,2,visited,到访层(C008=1),661,6,3,1,0.06809325807519566,3.6809325807519566
enhanced,zscore,2,unvisited,未到访层(C008=2),219,5,2,0,0.07469644221146912,2.746964422114691
enhanced,zscore,3,all,全样本对照,880,2,2,2,0.08549726429301933,2.8549726429301936
enhanced,zscore,3,visited,到访层(C008=1),661,6,2,0,0.08008495789960836,2.8008495789960834
enhanced,zscore,3,unvisited,未到访层(C008=2),219,5,2,0,0.09543592630706846,2.9543592630706845
enhanced,zscore,4,all,全样本对照,880,2,2,2,0.08748286384285542,2.8748286384285544
enhanced,zscore,4,visited,到访层(C008=1),661,6,3,1,0.08922097297087213,3.8922097297087213
enhanced,zscore,4,unvisited,未到访层(C008=2),219,5,3,1,0.12705092960106937,4.270509296010694
enhanced,robust,2,all,全样本对照,880,2,2,2,0.06704914192151068,2.670491419215107
enhanced,robust,2,visited,到访层(C008=1),661,6,5,3,0.07200309204956941,5.720030920495694
enhanced,robust,2,unvisited,未到访层(C008=2),219,5,2,0,0.05598507079608017,2.559850707960802
enhanced,robust,3,all,全样本对照,880,2,2,2,0.06929203455647479,2.692920345564748
enhanced,robust,3,visited,到访层(C008=1),661,6,3,1,0.07739849674661058,3.773984967466106
enhanced,robust,3,unvisited,未到访层(C008=2),219,5,3,1,0.11828535933990711,4.182853593399071
enhanced,robust,4,all,全样本对照,880,2,2,2,0.11884261765145146,3.1884261765145148
enhanced,robust,4,visited,到访层(C008=1),661,6,2,0,0.09132808466652341,2.9132808466652342
enhanced,robust,4,unvisited,未到访层(C008=2),219,5,2,0,0.1330290353026256,3.330290353026256
