item,value
selected_feature_set,enhanced
selected_preprocess,robust
selected_k,2
selected_silhouette,0.3408398673532379
selected_stratified_external_score,3.6740651525630152
selected_visited_sig_n,3
selected_unvisited_sig_n,2
selected_all_scored_sig_n,2
selected_visited_scored_sig_n,1
selected_unvisited_scored_sig_n,0
appendix_k4_zscore_silhouette,0.15448160907995342
appendix_k4_zscore_stratified_external_score,5.2460085174290345
appendix_k4_robust_silhouette,0.25137940908444456
appendix_k4_robust_stratified_external_score,5.245523220524796
appendix_k4_preferred_preprocess,zscore
soft_q30,0.91439923831219
soft_q70,0.9905537255389325
resample_consistency_mean,0.9718076285240465
resample_consistency_p10,0.8839137645107794
