模块,模型,阈值,n,TP,FP,TN,FN,accuracy,precision,recall,f1,auc,pseudo_r2,说明
阈值敏感性,base(Q11>=3 & Q12>=3),0.4,861,0,0,627,234,0.7282229965156795,nan,0.0,nan,0.5541923962976595,0.004017347286336181,基线模型阈值比较
阈值敏感性,base(Q11>=3 & Q12>=3),0.5,861,0,0,627,234,0.7282229965156795,nan,0.0,nan,0.5541923962976595,0.004017347286336181,基线模型阈值比较
阈值敏感性,base(Q11>=3 & Q12>=3),0.6,861,0,0,627,234,0.7282229965156795,nan,0.0,nan,0.5541923962976595,0.004017347286336181,基线模型阈值比较
共线性检查,base(Q11>=3 & Q12>=3),,861,,,,,,,,,,,"Q2_age_code: VIF=1.029, R2=0.028"
共线性检查,base(Q11>=3 & Q12>=3),,861,,,,,,,,,,,"Q6_habit_code: VIF=1.043, R2=0.041"
共线性检查,base(Q11>=3 & Q12>=3),,861,,,,,,,,,,,"Q7_knowledge_code: VIF=1.046, R2=0.044"
共线性检查,base(Q11>=3 & Q12>=3),,861,,,,,,,,,,,"Q8_visit_status_code: VIF=1.052, R2=0.050"
共线性检查,base(Q11>=3 & Q12>=3),,861,,,,,,,,,,,"perception_mean: VIF=1.931, R2=0.482"
共线性检查,base(Q11>=3 & Q12>=3),,861,,,,,,,,,,,"performance_mean: VIF=1.644, R2=0.392"
共线性检查,base(Q11>=3 & Q12>=3),,861,,,,,,,,,,,"cognition_mean: VIF=1.548, R2=0.354"
共线性检查,base(Q11>=3 & Q12>=3),,861,,,,,,,,,,,"motive_count: VIF=1.109, R2=0.099"
替代因变量稳健性,alt_stay(Q11>=3),0.5,861,,,,,0.537746806039489,,,,0.5557687118881873,0.015733782336754487,与基线方向一致=5，方向反转=3
替代因变量稳健性,alt_spend(Q12>=3),0.5,861,,,,,0.5389082462253194,,,,0.5758036867059424,0.015984953479367903,与基线方向一致=6，方向反转=2
