item_id,output_path,status,source_path,transform_rule,pending_reason
table_6_1,data/data_analysis/_tmp_off_check/tables/表6-1_双口径模型拟合指标对比.csv,ready,data/data_analysis/_source_analysis/tables/Logit模型指标.csv|data/data_analysis/_source_analysis/tables/Logit回归结果_主样本.csv|data/data_analysis/_source_analysis/tables/Logit回归结果_敏感性样本.csv,双口径指标重整,
table_7_1,data/data_analysis/_tmp_off_check/tables/表7-1_两类游客画像关键特征对比.csv,ready,data/data_analysis/_source_analysis/tables/二阶聚类画像卡.csv,按大纲宽表格式重排,
table_7_2,data/data_analysis/_tmp_off_check/tables/表7-2_分层运营落地矩阵.csv,ready,data/data_analysis/_source_analysis/tables/建议落地行动矩阵.csv|data/data_analysis/_source_analysis/tables/二阶聚类画像卡.csv|data/data_analysis/_source_analysis/tables/多选题选择率表.csv,分群与偏好题重构,
table_7_3,data/data_analysis/_tmp_off_check/tables/表7-3_研究假设汇总_H1-H8.csv,ready,data/data_analysis/_source_analysis/tables/假设变量模型映射表.csv,H1-H7复用，H8占位,
table_7_4,data/data_analysis/_tmp_off_check/tables/表7-4_SEM模型拟合指标_待补.csv,pending,,按大纲固定字段占位,SEM结果缺失（按策略保留待补）
table_7_5,data/data_analysis/_tmp_off_check/tables/表7-5_SEM路径系数与显著性_待补.csv,pending,,按大纲固定字段占位,SEM路径结果缺失（按策略保留待补）
table_7_6,data/data_analysis/_tmp_off_check/tables/表7-6_IPA四象限归属汇总_均值阈值.csv,ready,data/data_analysis/_source_analysis/tables/IPA阈值敏感性表.csv,过滤均值阈值后按象限汇总,
table_7_7,data/data_analysis/_tmp_off_check/tables/表7-7_IPA整改行动清单.csv,ready,data/data_analysis/_source_analysis/tables/建议落地行动矩阵.csv|data/data_analysis/_source_analysis/tables/问题-证据-建议对照表.csv,动作矩阵与证据对照表合并,
table_7_8,data/data_analysis/_tmp_off_check/tables/表7-8_游客意见三维汇总.csv,ready,data/data_analysis/_source_analysis/tables/多选题选择率表.csv,按三维框架聚合多选题Top项,
table_7_9,data/data_analysis/_tmp_off_check/tables/表7-9_专家意见整合框架_待补.csv,pending,,按大纲固定字段占位,专家访谈材料缺失（按策略保留待补）
table_7_10,data/data_analysis/_tmp_off_check/tables/表7-10_问题证据建议闭环汇总.csv,ready,data/data_analysis/_source_analysis/tables/问题-证据-建议对照表.csv|data/data_analysis/_source_analysis/tables/建议落地行动矩阵.csv|data/data_analysis/_source_analysis/tables/多选题选择率表.csv,统计证据与游客声音填充，专家列保留待补,
fig_6_4_mca,data/data_analysis/_tmp_off_check/figures/MCA二维图.png,ready,data/data_analysis/_source_analysis/figures/MCA二维图.png,直接复制可复用图,
fig_7_1_ipa,data/data_analysis/_tmp_off_check/figures/IPA象限图.png,ready,data/data_analysis/_source_analysis/figures/IPA象限图.png,直接复制可复用图,
fig_core_profile,data/data_analysis/_tmp_off_check/figures/核心画像图_core_profile.png,ready,data/data_analysis/_source_analysis/figures/核心画像图_core_profile.png,直接复制可复用图,
fig_6_1_age_gender,data/data_analysis/_tmp_off_check/figures/年龄段人数_性别堆叠图.png,pending,data/data_analysis/_source_analysis/figures/年龄段人数_性别堆叠图.png,直接复制可复用图,源图缺失
fig_data_6_2,data/data_analysis/_tmp_off_check/figures_data/图6-2_消费梯度堆积图_数据.csv,ready,data/data_analysis/_source_analysis/tables/单选题频数百分比表.csv,提取Q24/Q25分布数据,
fig_data_6_3,data/data_analysis/_tmp_off_check/figures_data/图6-3_动机排名条形图_数据.csv,ready,data/data_analysis/_source_analysis/tables/多选题选择率表.csv,提取Q16-23动机Top排序,
xlsx_bundle,data/data_analysis/_tmp_off_check/大纲数据总表_880.xlsx,skipped,data/data_analysis/_tmp_off_check/tables/*.csv,JS(exceljs)多sheet整表导出,
