category,label,group,dim1,dim2,dim1_contrib,dim2_contrib
Q2=1,18岁以下,年龄层,0.24894677727008302,-1.5951884204654034,0.002128039948192691,0.0957218797263029
Q2=2,26-45岁,年龄层,-0.9056615667312051,0.21841375162133836,0.21905550220639539,0.013957342296526516
Q2=3,18-25岁,年龄层,0.43924212488627246,0.5958723856334206,0.05778323794652119,0.11649865406122341
Q2=4,46-64岁,年龄层,0.824954948287492,-0.700987445640339,0.09866617912328936,0.07804566920085797
Q2=5,65岁及以上,年龄层,-0.23076573643178666,-1.040529687268924,0.004114261861952652,0.09163865594136902
Q3=1,初中及以下,教育层,0.7347099440363399,-0.03920366888822568,0.03552590786716714,0.00011081211819766804
Q3=2,中专/高中,教育层,0.4185410260460907,0.8169355555906106,0.015873179709915645,0.0662497040844289
Q3=3,大专,教育层,0.4634652156006518,0.2841150275377812,0.04179542207487234,0.017206927098163644
Q3=4,本科,教育层,-0.81840234751363,-0.1330415443379765,0.21209775673924167,0.006140410130682302
Q3=5,硕士及以上,教育层,0.5319404403626148,-0.5441318866584032,0.043992422738915606,0.05042903976362753
Q109=1,不学习,学习准备,0.5491931401213198,1.0633386086068404,0.04689235787847888,0.19258191947294653
Q109=2,游览中学习,学习准备,-1.9586677533360568,-0.40288143629453976,0.06952474525833338,0.0032224994745078802
Q109=3,游览后学习,学习准备,-2.397822067365587,0.3255286409831551,0.12064819945195654,0.0024360479465287974
Q109=4,游览中后学习,学习准备,-0.5317252175333188,1.0595534355446323,0.02696738117617307,0.11730876666379604
Q109=5,游览前中学习,学习准备,0.10885246808255818,-0.6267430446612767,0.0015709256103454289,0.057053013323557215
Q109=6,游览前中后学习,学习准备,0.09164361820359428,-0.4563550865749856,0.003364480408249194,0.0913986586972849
