item_no,importance_col,performance_col,item_text,importance_mean,performance_mean,gap_perf_minus_imp,quadrant
1,66,76,①丰富的中医药文化展示和非遗体验项目,3.771590909090909,3.7443181818181817,-0.027272727272727337,Q1_保持优势
2,67,77,②环境舒适度与卫生状况,3.776136363636364,3.6988636363636362,-0.0772727272727276,Q2_优先改进
3,68,78,③便捷的交通、充足的停车位,3.7420454545454547,3.668181818181818,-0.07386363636363669,Q3_低优先级
4,69,79,④亲友推荐/正面评价多,3.7125,3.7170454545454548,0.004545454545454852,Q4_可能过度投入
5,70,80,⑤特色美食、文创产品的种类及品质,3.7636363636363637,3.6,-0.16363636363636358,Q3_低优先级
6,71,81,⑥提供个性化中医体质辨识、养生咨询等服务,3.786363636363636,3.7227272727272727,-0.06363636363636349,Q1_保持优势
7,72,82,⑦服务专业度与态度,3.859090909090909,3.7386363636363638,-0.12045454545454515,Q1_保持优势
8,73,83,⑧产品价格与优惠力度,3.7511363636363635,3.706818181818182,-0.04431818181818148,Q4_可能过度投入
9,74,84,⑨中医药服务专业度,3.809090909090909,3.7170454545454548,-0.09204545454545432,Q1_保持优势
10,75,85,⑩线上线下宣传推广,3.7,3.7477272727272726,0.047727272727272396,Q4_可能过度投入
