respondent_id,col_idx,marker_text
13,23,其他〖无〗
13,32,其他〖无〗
13,100,其他〖无〗
24,15,其他〖没听说过〗
37,15,其他〖不了解😭〗
44,15,其他〖从没听过〗
44,23,其他〖从没去过〗
44,32,其他〖从没去过〗
50,15,其他〖没了解过〗
50,23,其他〖没去过〗
50,32,其他〖无〗
51,15,其他〖无〗
59,23,其他〖没去过〗
60,100,其他〖发鸡蛋〗
67,100,其他〖好〗
67,107,其他〖好〗
76,107,其他〖1〗
85,15,其他〖无〗
95,32,其他〖单纯来看看〗
110,32,其他〖没去过〗
148,51,其他〖清元素争议还是比较大的哦〗
158,23,其他〖无〗
163,107,其他〖无〗
190,32,其他〖无〗
191,42,其他〖无〗
195,107,其他〖无〗
200,100,其他〖无〗
201,32,其他〖无〗
202,23,其他〖无〗
203,23,其他〖无〗
205,15,其他〖无〗
215,100,其他〖无〗
219,107,其他〖无〗
223,107,其他〖无〗
232,32,其他〖无〗
235,42,其他〖无〗
238,15,其他〖无〗
245,100,其他〖无〗
246,107,其他〖无〗
248,42,其他〖无〗
249,42,其他〖无〗
252,100,其他〖无〗
258,23,其他〖无〗
260,100,其他〖无〗
261,107,其他〖无〗
263,32,其他〖无〗
264,23,其他〖无〗
284,15,其他〖无〗
286,107,其他〖无〗
289,107,其他〖无〗
291,23,其他〖无〗
295,15,其他〖无〗
299,15,其他〖无〗
302,23,其他〖无〗
303,107,其他〖无〗
305,23,其他〖无〗
312,100,其他〖无〗
316,23,其他〖无〗
321,15,其他〖无〗
323,23,其他〖无〗
323,32,其他〖无〗
329,32,其他〖无〗
335,107,其他〖无〗
340,42,其他〖无〗
344,15,其他〖无〗
345,15,其他〖无〗
345,42,其他〖无〗
361,23,其他〖无〗
371,107,其他〖无〗
372,100,其他〖无〗
374,42,其他〖无〗
379,107,其他〖无〗
383,107,其他〖无〗
385,15,其他〖无〗
391,32,其他〖无〗
392,15,其他〖无〗
399,15,其他〖无〗
401,32,其他〖无〗
404,23,其他〖无〗
404,32,其他〖无〗
407,15,其他〖无〗
411,23,其他〖无〗
420,42,其他〖无〗
431,100,其他〖无〗
442,42,其他〖无〗
450,23,其他〖无〗
458,42,其他〖无〗
463,107,其他〖无〗
467,32,其他〖无〗
469,107,其他〖无〗
471,42,其他〖无〗
474,23,其他〖无〗
478,107,其他〖无〗
487,107,其他〖无〗
504,15,其他〖无〗
508,15,其他〖无〗
516,23,其他〖无〗
520,23,其他〖无〗
520,32,其他〖无〗
526,23,其他〖无〗
529,15,其他〖无〗
530,100,其他〖无〗
531,32,其他〖无〗
537,15,其他〖无〗
543,100,其他〖无〗
547,107,其他〖无〗
552,15,其他〖无〗
555,23,其他〖无〗
561,107,其他〖无〗
572,42,其他〖无〗
577,107,其他〖无〗
579,15,其他〖无〗
580,107,其他〖无〗
583,15,其他〖无〗
596,42,其他〖无〗
597,32,其他〖无〗
599,15,其他〖无〗
608,15,其他〖无〗
620,15,其他〖无〗
624,23,其他〖无〗
625,32,其他〖无〗
625,51,其他〖无〗
628,15,其他〖无〗
630,15,其他〖无〗
631,23,其他〖无〗
642,42,其他〖无〗
652,15,其他〖无〗
660,15,其他〖无〗
661,107,其他〖无〗
677,107,其他〖无〗
678,23,其他〖无〗
681,23,其他〖无〗
687,42,其他〖无〗
724,100,其他〖无〗
745,15,其他〖无〗
764,42,其他〖无〗
766,32,其他〖无〗
769,100,其他〖无〗
771,107,其他〖无〗
775,23,其他〖无〗
779,32,其他〖无〗
780,32,其他〖无〗
786,107,其他〖无〗
788,23,其他〖无〗
790,107,其他〖无〗
794,100,其他〖无〗
795,107,其他〖无〗
804,23,其他〖无〗
805,23,其他〖无〗
805,32,其他〖无〗
818,107,其他〖无〗
820,23,其他〖无〗
822,15,其他〖无〗
823,15,其他〖无〗
825,32,其他〖无〗
826,107,其他〖无〗
830,100,其他〖无〗
832,100,其他〖无〗
833,107,其他〖无〗
836,107,其他〖无〗
839,23,其他〖无〗
843,107,其他〖无〗
847,107,其他〖无〗
852,107,其他〖无〗
854,23,其他〖无〗
856,42,其他〖无〗
857,23,其他〖无〗
863,15,其他〖无〗
869,107,其他〖无〗
871,107,其他〖无〗
873,42,其他〖无〗
889,15,其他〖无〗
893,32,其他〖无〗
893,100,其他〖无〗
902,107,其他〖无〗
908,32,其他〖无〗
911,42,其他〖无〗
913,107,其他〖无〗
916,15,其他〖无〗
917,32,其他〖无〗
919,15,其他〖无〗
922,32,其他〖无〗
929,23,其他〖无〗
930,23,其他〖无〗
932,15,其他〖无〗
936,32,其他〖无〗
937,107,其他〖无〗
954,32,其他〖无〗
958,23,其他〖无〗
958,107,其他〖无〗
961,100,其他〖无〗
961,107,其他〖无〗
